COMID,lat,lon,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_16,frac_17,frac_18,frac_19
71030100,51.1958433900165,-115.845500091425,0.528061509132385,0.0539283528923988,0.000594204058870673,0.000822744099423289,0.0243623666465282,0.10407666862011,0.000290933239739388,0.000228540026000701,0,0.285755127668381,0.0003711863537319,0.000822744099423289,0.000685620063450187
71030270,51.600547629188,-116.143072118115,0.463889420032501,0.02180608920753,0.000250600132858381,0.00221960130147636,0.0512088984251022,0.113330684602261,0,0.00082340044900775,0.00608600350096822,0.333767712116241,0,0.00186160102020949,0.00475596031174064
71030287,51.4018479414558,-116.05402952349,0.682592630386353,0.0307097844779491,0.00248573650605977,0.00381522718816996,0.0193226430565119,0.0781443566083908,0.000140265707159415,0.000224425122723915,0,0.178530901670456,0.000916404998861253,0.000570432574022561,0.00254711764864624
71030302,51.1899449710374,-115.909394944708,0.663058400154114,0.0169236809015274,0.000263239111518487,0.00131619547028095,0.0406272746622562,0.0760392025113106,0.0013688433682546,0.000315886922180653,0.00126947241369635,0.194697231054306,0,0.000263239111518487,0.00385733204893768
71030418,51.0164215186804,-115.598883551674,0.392607599496841,0.0687398314476013,0.000724946090485901,0.0039872033521533,0.0356552675366402,0.0542902499437332,0.000289978430373594,0.00134863203857094,0.00427718181163073,0.42946845293045,0,0.00439800648018718,0.00421262718737125
71030527,51.0358597362562,-115.667375549466,0.471462845802307,0.043118804693222,0.00102396542206407,0.00193415686953813,0.0269075352698565,0.0337284058332443,0,0.000285312125924975,0.000938634970225394,0.412579268217087,0,0.0052620442584157,0.00275901798158884
71030563,51.0596442240779,-115.723370240581,0.389797657728195,0.0573800355195999,0.000396459014154971,0.00443538511171937,0.0482582710683346,0.145572185516357,0.000346901622833684,0.0151290120556951,0.0170614831149578,0.319318205118179,0,0.00230441801249981,0
71030690,51.1065732994313,-115.777315384405,0.475486636161804,0.0361459068953991,0.00107777945231646,0.00206123082898557,0.0634027570486069,0.190695688128471,0.000177356123458594,0.00213298574090004,0.00758314644917846,0.215867355465889,0.00345914461649954,0.00169170449953526,0.000218284461880103
71030774,51.1223035189129,-115.599616798499,0.782603442668915,0.00476995995268226,0.00199950090609491,0.00459825433790684,0.0100086843594909,0.0245852563530207,0,0,0.000404962222091854,0.169160038232803,0,0.00133834534790367,0.000531512894667685
71030784,51.1245460549713,-115.901304552152,0.662533760070801,0.0149723347276449,0.00537663791328669,0.00712658185511827,0.0533410310745239,0.0656696707010269,0.000477329856948927,0,0.00256151147186756,0.139777481555939,0,0.0257165618240833,0.0224471054971218
